"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Info"
"70","2020-06-06 13:36:49,056669","192.168.100.2","domain","192.168.100.121","63420","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"71","2020-06-06 13:36:49,058612","192.168.100.121","63421","192.168.100.2","domain","DNS","79","Standard query 0x0002 TXT l.7.ns.ostrykebs.pl"
"72","2020-06-06 13:36:49,091229","192.168.100.2","domain","192.168.100.121","63421","DNS","346","Standard query response 0x0002 TXT l.7.ns.ostrykebs.pl TXT"
"73","2020-06-06 13:36:49,220420","192.168.100.121","63422","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"74","2020-06-06 13:36:49,225629","192.168.100.2","domain","192.168.100.121","63422","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"75","2020-06-06 13:36:49,226083","192.168.100.121","63423","192.168.100.2","domain","DNS","79","Standard query 0x0002 TXT l.8.ns.ostrykebs.pl"
"76","2020-06-06 13:36:49,289225","192.168.100.2","domain","192.168.100.121","63423","DNS","346","Standard query response 0x0002 TXT l.8.ns.ostrykebs.pl TXT"
"77","2020-06-06 13:36:49,371396","192.168.100.121","63424","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"78","2020-06-06 13:36:49,376951","192.168.100.2","domain","192.168.100.121","63424","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"79","2020-06-06 13:36:49,377230","192.168.100.121","63425","192.168.100.2","domain","DNS","79","Standard query 0x0002 TXT l.9.ns.ostrykebs.pl"
"80","2020-06-06 13:36:49,407879","192.168.100.2","domain","192.168.100.121","63425","DNS","346","Standard query response 0x0002 TXT l.9.ns.ostrykebs.pl TXT"
"81","2020-06-06 13:36:49,507863","192.168.100.121","63426","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"82","2020-06-06 13:36:49,513083","192.168.100.2","domain","192.168.100.121","63426","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"83","2020-06-06 13:36:49,513354","192.168.100.121","63427","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.10.ns.ostrykebs.pl"
"84","2020-06-06 13:36:49,546511","192.168.100.2","domain","192.168.100.121","63427","DNS","347","Standard query response 0x0002 TXT l.10.ns.ostrykebs.pl TXT"
"85","2020-06-06 13:36:49,643895","192.168.100.121","63428","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"86","2020-06-06 13:36:49,649080","192.168.100.2","domain","192.168.100.121","63428","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"87","2020-06-06 13:36:49,649369","192.168.100.121","63429","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.11.ns.ostrykebs.pl"
"88","2020-06-06 13:36:49,682386","192.168.100.2","domain","192.168.100.121","63429","DNS","347","Standard query response 0x0002 TXT l.11.ns.ostrykebs.pl TXT"
"89","2020-06-06 13:36:49,776479","192.168.100.121","63430","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"90","2020-06-06 13:36:49,781740","192.168.100.2","domain","192.168.100.121","63430","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"91","2020-06-06 13:36:49,782063","192.168.100.121","63431","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.12.ns.ostrykebs.pl"
"92","2020-06-06 13:36:49,815614","192.168.100.2","domain","192.168.100.121","63431","DNS","347","Standard query response 0x0002 TXT l.12.ns.ostrykebs.pl TXT"
"93","2020-06-06 13:36:49,878098","192.168.100.121","netbios-dgm","192.168.100.255","netbios-dgm","BROWSER","232","Browser Election Request"
"94","2020-06-06 13:36:49,898911","192.168.100.121","63432","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"95","2020-06-06 13:36:49,904405","192.168.100.2","domain","192.168.100.121","63432","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"96","2020-06-06 13:36:49,904712","192.168.100.121","63433","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.13.ns.ostrykebs.pl"
"97","2020-06-06 13:36:49,936087","192.168.100.2","domain","192.168.100.121","63433","DNS","347","Standard query response 0x0002 TXT l.13.ns.ostrykebs.pl TXT"
"98","2020-06-06 13:36:50,031871","192.168.100.121","63434","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"99","2020-06-06 13:36:50,037265","192.168.100.2","domain","192.168.100.121","63434","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"100","2020-06-06 13:36:50,037530","192.168.100.121","63435","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.14.ns.ostrykebs.pl"
"101","2020-06-06 13:36:50,068071","192.168.100.2","domain","192.168.100.121","63435","DNS","347","Standard query response 0x0002 TXT l.14.ns.ostrykebs.pl TXT"
"102","2020-06-06 13:36:50,171418","192.168.100.121","63436","192.168.100.2","domain","DNS","86","Standard query 0x0001 PTR 2.100.168.192.in-addr.arpa"
"103","2020-06-06 13:36:50,176629","192.168.100.2","domain","192.168.100.121","63436","DNS","86","Standard query response 0x0001 No such name PTR 2.100.168.192.in-addr.arpa"
"104","2020-06-06 13:36:50,177000","192.168.100.121","63437","192.168.100.2","domain","DNS","80","Standard query 0x0002 TXT l.15.ns.ostrykebs.pl"
"105","2020-06-06 13:36:50,207831","192.168.100.2","domain","192.168.100.121","63437","DNS","347","Standard query response 0x0002 TXT l.15.ns.ostrykebs.pl TXT"
